No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location,Place,Place_2
Small area,2023-07-23 00:40:32,121.616,24.0373,3.4,8.6,24.04N 121.62E,i.e. 5.2 km N of Hualien County(24.04N 121.62E,i.e. 5.2 km N of Hualien County)
Small area,2023-07-23 00:40:26,121.641,24.0395,3.2,8,24.04N 121.64E,i.e. 5.8 km NNE of Hualien County(24.04N 121.64E,i.e. 5.8 km NNE of Hualien County)
Small area,2023-07-22 21:35:59,121.637,24.0398,3.8,7.5,24.04N 121.64E,i.e. 5.7 km NNE of Hualien County(24.04N 121.64E,i.e. 5.7 km NNE of Hualien County)
Small area,2023-07-22 21:28:33,121.58,23.9313,3.4,7.3,23.93N 121.58E,i.e. 7.8 km SW of Hualien County(23.93N 121.58E,i.e. 7.8 km SW of Hualien County)
Small area,2023-07-22 21:22:47,121.622,24.0385,3.4,8,24.04N 121.62E,i.e. 5.3 km N of Hualien County(24.04N 121.62E,i.e. 5.3 km N of Hualien County)
Small area,2023-07-21 14:14:40,121.55,23.7728,3.6,9,23.77N 121.55E,i.e. 25.2 km SSW of Hualien County(23.77N 121.55E,i.e. 25.2 km SSW of Hualien County)
Small area,2023-07-18 22:09:43,121.443,23.306,3.4,28.5,23.31N 121.44E,i.e. 68.0 km NNE of Taitung County(23.31N 121.44E,i.e. 68.0 km NNE of Taitung County)
54,2023-07-18 16:29:39,121.454,23.8827,4.2,21.1,23.88N 121.45E,i.e. 20.8 km WSW of Hualien County(23.88N 121.45E,i.e. 20.8 km WSW of Hualien County)
53,2023-07-15 15:50:51,121.317,23.4622,4.1,14.2,23.46N 121.32E,i.e. 66.2 km SSW of Hualien County(23.46N 121.32E,i.e. 66.2 km SSW of Hualien County)
Small area,2023-07-14 10:39:14,121.965,24.7802,4.2,92.2,24.78N 121.97E,i.e. 21.2 km ENE of Yilan County(24.78N 121.97E,i.e. 21.2 km ENE of Yilan County)
52,2023-07-14 10:09:27,121.306,23.4922,4.5,13.4,23.49N 121.31E,i.e. 63.8 km SSW of Hualien County(23.49N 121.31E,i.e. 63.8 km SSW of Hualien County)
Small area,2023-07-13 18:34:13,121.586,23.7873,3.8,27.9,23.79N 121.59E,i.e. 22.8 km S of Hualien County(23.79N 121.59E,i.e. 22.8 km S of Hualien County)
Small area,2023-07-13 18:03:34,121.453,23.9027,3.4,20.3,23.90N 121.45E,i.e. 19.6 km WSW of Hualien County(23.90N 121.45E,i.e. 19.6 km WSW of Hualien County)
Small area,2023-07-13 14:37:59,120.7,23.4498,3.4,3.9,23.45N 120.70E,i.e. 41.6 km E of Chiayi County(23.45N 120.70E,i.e. 41.6 km E of Chiayi County)
Small area,2023-07-11 19:42:07,121.517,24.0577,3.8,19.3,24.06N 121.52E,i.e. 12.8 km WNW of Hualien County(24.06N 121.52E,i.e. 12.8 km WNW of Hualien County)
Small area,2023-07-10 16:48:55,121.242,23.268,3.7,16.7,23.27N 121.24E,i.e. 88.9 km SSW of Hualien County(23.27N 121.24E,i.e. 88.9 km SSW of Hualien County)
51,2023-07-10 06:11:33,121.513,24.0522,5.3,20.1,24.05N 121.51E,i.e. 12.8 km WNW of Hualien County(24.05N 121.51E,i.e. 12.8 km WNW of Hualien County)
Small area,2023-07-10 02:06:04,121.481,23.911,3.3,16.7,23.91N 121.48E,i.e. 16.7 km WSW of Hualien County(23.91N 121.48E,i.e. 16.7 km WSW of Hualien County)
Small area,2023-07-08 16:09:35,121.302,23.6295,3.9,4.3,23.63N 121.30E,i.e. 51.5 km SW of Hualien County(23.63N 121.30E,i.e. 51.5 km SW of Hualien County)
Small area,2023-07-07 02:21:25,121.444,23.4187,4.4,37,23.42N 121.44E,i.e. 79.4 km NNE of Taitung County(23.42N 121.44E,i.e. 79.4 km NNE of Taitung County)
44,2023-07-07 02:03:56,121.183,23.134,4.9,11,23.13N 121.18E,i.e. 42.1 km N of Taitung County(23.13N 121.18E,i.e. 42.1 km N of Taitung County)
Small area,2023-07-06 01:08:47,121.552,23.9967,4.1,13,24.00N 121.55E,i.e. 6.9 km W of Hualien County(24.00N 121.55E,i.e. 6.9 km W of Hualien County)
Small area,2023-07-04 15:36:19,121.18,23.1323,3.9,16.5,23.13N 121.18E,i.e. 41.9 km N of Taitung County(23.13N 121.18E,i.e. 41.9 km N of Taitung County)
Small area,2023-07-04 14:02:07,121.777,24.3158,3.2,4.3,24.32N 121.78E,i.e. 46.0 km S of Yilan County(24.32N 121.78E,i.e. 46.0 km S of Yilan County)
Small area,2023-06-29 22:40:45,122.49,24.7152,5.1,98.3,24.72N 122.49E,i.e. 73.6 km E of Yilan County(24.72N 122.49E,i.e. 73.6 km E of Yilan County)
Small area,2023-06-29 01:00:35,121.244,23.2643,3.7,16.6,23.26N 121.24E,i.e. 89.1 km SSW of Hualien County(23.26N 121.24E,i.e. 89.1 km SSW of Hualien County)
Small area,2023-06-27 09:16:38,121.281,23.4065,3.7,10.1,23.41N 121.28E,i.e. 73.4 km SSW of Hualien County(23.41N 121.28E,i.e. 73.4 km SSW of Hualien County)
Small area,2023-06-23 04:13:46,122.004,23.7378,4.3,29.5,23.74N 122.00E,i.e. 48.1 km ESE of Hualien County(23.74N 122.00E,i.e. 48.1 km ESE of Hualien County)
43,2023-06-23 02:45:30,121.672,24.5538,4.8,59.3,24.55N 121.67E,i.e. 21.7 km SSW of Yilan County(24.55N 121.67E,i.e. 21.7 km SSW of Yilan County)
Small area,2023-06-23 00:27:56,120.999,23.9818,3.9,15.7,23.98N 121.00E,i.e. 32.7 km ENE of Nantou County(23.98N 121.00E,i.e. 32.7 km ENE of Nantou County)
42,2023-06-22 14:04:07,121.721,23.9028,4.5,22.1,23.90N 121.72E,i.e. 14.1 km SE of Hualien County(23.90N 121.72E,i.e. 14.1 km SE of Hualien County)
Small area,2023-06-21 18:55:42,121.779,24.2907,4.1,60.5,24.29N 121.78E,i.e. 36.9 km NNE of Hualien County(24.29N 121.78E,i.e. 36.9 km NNE of Hualien County)
Small area,2023-06-20 11:38:24,121.634,24.3437,3.2,23.8,24.34N 121.63E,i.e. 39.1 km N of Hualien County(24.34N 121.63E,i.e. 39.1 km N of Hualien County)
Small area,2023-06-19 20:39:13,121.465,23.9275,3.3,18.2,23.93N 121.47E,i.e. 17.2 km WSW of Hualien County(23.93N 121.47E,i.e. 17.2 km WSW of Hualien County)
Small area,2023-06-17 14:09:33,121.241,23.2643,4.2,17.7,23.26N 121.24E,i.e. 89.3 km SSW of Hualien County(23.26N 121.24E,i.e. 89.3 km SSW of Hualien County)
41,2023-06-17 09:47:29,121.241,23.2647,4.4,17,23.26N 121.24E,i.e. 89.3 km SSW of Hualien County(23.26N 121.24E,i.e. 89.3 km SSW of Hualien County)
Small area,2023-06-16 22:23:50,120.88,24.2608,3.7,28.5,24.26N 120.88E,i.e. 24.5 km ENE of Taichung City(24.26N 120.88E,i.e. 24.5 km ENE of Taichung City)
Small area,2023-06-15 11:09:06,121.181,23.1368,3.6,14,23.14N 121.18E,i.e. 42.4 km N of Taitung County(23.14N 121.18E,i.e. 42.4 km N of Taitung County)
Small area,2023-06-15 07:58:58,121.55,23.5645,4.8,29.8,23.56N 121.55E,i.e. 47.8 km S of Hualien County(23.56N 121.55E,i.e. 47.8 km S of Hualien County)
Small area,2023-06-14 07:56:13,122.441,24.9237,4.6,17.3,24.92N 122.44E,i.e. 71.8 km ENE of Yilan County(24.92N 122.44E,i.e. 71.8 km ENE of Yilan County)
40,2023-06-11 20:25:39,122.492,24.2147,5.5,46.8,24.21N 122.49E,i.e. 92.0 km ENE of Hualien County(24.21N 122.49E,i.e. 92.0 km ENE of Hualien County)
Small area,2023-06-11 01:55:59,121.413,23.207,3.7,23.4,23.21N 121.41E,i.e. 56.8 km NNE of Taitung County(23.21N 121.41E,i.e. 56.8 km NNE of Taitung County)
Small area,2023-06-10 16:36:14,121.583,23.8117,4.3,27,23.81N 121.58E,i.e. 20.2 km SSW of Hualien County(23.81N 121.58E,i.e. 20.2 km SSW of Hualien County)
Small area,2023-06-02 17:48:43,122.099,24.3103,4.7,34.4,24.31N 122.10E,i.e. 57.7 km SE of Yilan County(24.31N 122.10E,i.e. 57.7 km SE of Yilan County)
Small area,2023-06-01 23:39:20,122.122,24.6702,3.9,5.6,24.67N 122.12E,i.e. 36.9 km E of Yilan County(24.67N 122.12E,i.e. 36.9 km E of Yilan County)
Small area,2023-06-01 21:20:57,121.403,24.4342,3.7,5.8,24.43N 121.40E,i.e. 49.1 km SW of Yilan County(24.43N 121.40E,i.e. 49.1 km SW of Yilan County)
Small area,2023-06-01 03:43:43,122.039,23.7053,4.3,39.8,23.71N 122.04E,i.e. 53.1 km SE of Hualien County(23.71N 122.04E,i.e. 53.1 km SE of Hualien County)
Small area,2023-05-30 03:06:22,121.502,23.4457,4.2,28.3,23.45N 121.50E,i.e. 61.6 km SSW of Hualien County(23.45N 121.50E,i.e. 61.6 km SSW of Hualien County)
Small area,2023-05-30 00:27:39,121.661,24.0693,4,27.8,24.07N 121.66E,i.e. 9.6 km NNE of Hualien County(24.07N 121.66E,i.e. 9.6 km NNE of Hualien County)
Small area,2023-05-29 04:38:57,122.122,24.6682,4,6,24.67N 122.12E,i.e. 37.0 km E of Yilan County(24.67N 122.12E,i.e. 37.0 km E of Yilan County)
Small area,2023-05-27 20:22:23,121.403,24.4358,3.3,6,24.44N 121.40E,i.e. 48.9 km SW of Yilan County(24.44N 121.40E,i.e. 48.9 km SW of Yilan County)
Small area,2023-05-27 08:20:53,121.405,24.4288,3.9,6.1,24.43N 121.40E,i.e. 49.4 km SW of Yilan County(24.43N 121.40E,i.e. 49.4 km SW of Yilan County)
Small area,2023-05-27 03:56:17,121.678,23.9035,4.1,25.7,23.90N 121.68E,i.e. 11.4 km SSE of Hualien County(23.90N 121.68E,i.e. 11.4 km SSE of Hualien County)
Small area,2023-05-22 04:25:44,121.738,24.377,3.4,6.2,24.38N 121.74E,i.e. 39.3 km S of Yilan County(24.38N 121.74E,i.e. 39.3 km S of Yilan County)
Small area,2023-05-21 15:13:39,121.274,23.636,3.9,3.8,23.64N 121.27E,i.e. 52.8 km SW of Hualien County(23.64N 121.27E,i.e. 52.8 km SW of Hualien County)
Small area,2023-05-16 02:34:10,121.524,24.0562,4,17.9,24.06N 121.52E,i.e. 12.1 km NW of Hualien County(24.06N 121.52E,i.e. 12.1 km NW of Hualien County)
36,2023-05-13 01:30:21,121.474,23.2118,4.7,30.3,23.21N 121.47E,i.e. 60.5 km NE of Taitung County(23.21N 121.47E,i.e. 60.5 km NE of Taitung County)
Small area,2023-05-11 06:07:35,120.808,23.1093,3.8,5.4,23.11N 120.81E,i.e. 74.2 km NE of Kaohsiung City(23.11N 120.81E,i.e. 74.2 km NE of Kaohsiung City)
Small area,2023-05-08 17:23:12,122.667,24.6712,5.4,114.8,24.67N 122.67E,i.e. 91.7 km E of Yilan County(24.67N 122.67E,i.e. 91.7 km E of Yilan County)
Small area,2023-05-08 10:02:52,121.379,23.4078,4.3,30.8,23.41N 121.38E,i.e. 69.1 km SSW of Hualien County(23.41N 121.38E,i.e. 69.1 km SSW of Hualien County)
Small area,2023-05-07 23:54:58,121.937,24.8273,3.7,9.4,24.83N 121.94E,i.e. 20.6 km ENE of Yilan County(24.83N 121.94E,i.e. 20.6 km ENE of Yilan County)
Small area,2023-05-07 10:37:33,121.263,24.2268,3.3,9.2,24.23N 121.26E,i.e. 68.5 km ENE of Nantou County(24.23N 121.26E,i.e. 68.5 km ENE of Nantou County)
35,2023-05-04 23:38:20,121.301,23.4492,5.1,14.1,23.45N 121.30E,i.e. 68.3 km SSW of Hualien County(23.45N 121.30E,i.e. 68.3 km SSW of Hualien County)
Small area,2023-05-04 16:55:21,121.731,23.7367,4.1,14.7,23.74N 121.73E,i.e. 30.3 km SSE of Hualien County(23.74N 121.73E,i.e. 30.3 km SSE of Hualien County)
Small area,2023-05-01 10:12:56,121.449,23.9077,3.9,20.1,23.91N 121.45E,i.e. 19.7 km WSW of Hualien County(23.91N 121.45E,i.e. 19.7 km WSW of Hualien County)
Small area,2023-04-30 15:52:45,121.162,23.0982,3.5,13.6,23.10N 121.16E,i.e. 38.0 km N of Taitung County(23.10N 121.16E,i.e. 38.0 km N of Taitung County)
Small area,2023-04-30 05:44:29,121.461,23.9382,3.1,19.1,23.94N 121.46E,i.e. 17.2 km WSW of Hualien County(23.94N 121.46E,i.e. 17.2 km WSW of Hualien County)
Small area,2023-04-27 16:15:20,121.527,23.466,4.3,36.6,23.47N 121.53E,i.e. 58.9 km S of Hualien County(23.47N 121.53E,i.e. 58.9 km S of Hualien County)
Small area,2023-04-26 21:46:28,121.435,23.3207,3.7,25.9,23.32N 121.44E,i.e. 69.1 km NNE of Taitung County(23.32N 121.44E,i.e. 69.1 km NNE of Taitung County)
Small area,2023-04-26 10:40:20,121.893,24.4848,3.3,15.1,24.48N 121.89E,i.e. 30.3 km SSE of Yilan County(24.48N 121.89E,i.e. 30.3 km SSE of Yilan County)
Small area,2023-04-26 03:10:25,122.231,24.8238,4.5,109.7,24.82N 122.23E,i.e. 48.4 km E of Yilan County(24.82N 122.23E,i.e. 48.4 km E of Yilan County)
Small area,2023-04-25 02:31:52,121.894,24.2675,4.3,27.4,24.27N 121.89E,i.e. 41.4 km NE of Hualien County(24.27N 121.89E,i.e. 41.4 km NE of Hualien County)
Small area,2023-04-24 15:26:43,121.739,24.7013,3.7,9.2,24.70N 121.74E,i.e. 4.1 km SW of Yilan County(24.70N 121.74E,i.e. 4.1 km SW of Yilan County)
Small area,2023-04-22 23:30:51,121.741,24.3867,3.1,6,24.39N 121.74E,i.e. 38.2 km S of Yilan County(24.39N 121.74E,i.e. 38.2 km S of Yilan County)
Small area,2023-04-22 22:10:04,121.774,24.3385,3.1,7.2,24.34N 121.77E,i.e. 43.5 km S of Yilan County(24.34N 121.77E,i.e. 43.5 km S of Yilan County)
Small area,2023-04-22 16:03:46,121.734,24.3822,4,5.9,24.38N 121.73E,i.e. 38.8 km S of Yilan County(24.38N 121.73E,i.e. 38.8 km S of Yilan County)
Small area,2023-04-22 08:20:46,120.972,23.2607,3.8,5.3,23.26N 120.97E,i.e. 58.9 km NNW of Taitung County(23.26N 120.97E,i.e. 58.9 km NNW of Taitung County)
Small area,2023-04-21 19:44:44,121.506,23.4977,4.6,29,23.50N 121.51E,i.e. 55.9 km SSW of Hualien County(23.50N 121.51E,i.e. 55.9 km SSW of Hualien County)
Small area,2023-04-20 05:41:31,121.471,23.7397,3.8,8,23.74N 121.47E,i.e. 31.7 km SSW of Hualien County(23.74N 121.47E,i.e. 31.7 km SSW of Hualien County)
Small area,2023-04-19 15:49:08,121.297,23.3918,3.9,9.7,23.39N 121.30E,i.e. 74.1 km SSW of Hualien County(23.39N 121.30E,i.e. 74.1 km SSW of Hualien County)
Small area,2023-04-19 14:11:17,121.141,23.0632,3.3,3.4,23.06N 121.14E,i.e. 34.1 km N of Taitung County(23.06N 121.14E,i.e. 34.1 km N of Taitung County)
Small area,2023-04-19 02:53:59,121.308,24.1637,3.7,7.2,24.16N 121.31E,i.e. 37.1 km WNW of Hualien County(24.16N 121.31E,i.e. 37.1 km WNW of Hualien County)
Small area,2023-04-18 03:33:53,121.903,24.3555,4.7,42,24.36N 121.90E,i.e. 43.9 km SSE of Yilan County(24.36N 121.90E,i.e. 43.9 km SSE of Yilan County)
Small area,2023-04-18 02:21:33,120.924,24.0753,3.5,23.6,24.08N 120.92E,i.e. 30.6 km NE of Nantou County(24.08N 120.92E,i.e. 30.6 km NE of Nantou County)
33,2023-04-17 16:49:04,121.67,24.3678,4.7,23,24.37N 121.67E,i.e. 41.3 km SSW of Yilan County(24.37N 121.67E,i.e. 41.3 km SSW of Yilan County)
32,2023-04-16 11:26:56,121.396,23.743,4.3,20,23.74N 121.40E,i.e. 35.7 km SW of Hualien County(23.74N 121.40E,i.e. 35.7 km SW of Hualien County)
Small area,2023-04-12 20:09:27,121.733,24.1812,3.2,10.5,24.18N 121.73E,i.e. 24.0 km NNE of Hualien County(24.18N 121.73E,i.e. 24.0 km NNE of Hualien County)
Small area,2023-04-10 03:11:33,121.391,24.8547,3.5,9.1,24.85N 121.39E,i.e. 19.0 km SSW of New Taipei City(24.85N 121.39E,i.e. 19.0 km SSW of New Taipei City)
Small area,2023-04-10 02:45:37,122.929,24.3178,5.2,43.5,24.32N 122.93E,i.e. 126.7 km ESE of Yilan County(24.32N 122.93E,i.e. 126.7 km ESE of Yilan County)
Small area,2023-04-10 02:26:49,121.191,23.03,3.7,10.1,23.03N 121.19E,i.e. 30.7 km N of Taitung County(23.03N 121.19E,i.e. 30.7 km N of Taitung County)
Small area,2023-04-10 01:35:19,121.404,23.7437,4,19.7,23.74N 121.40E,i.e. 35.1 km SW of Hualien County(23.74N 121.40E,i.e. 35.1 km SW of Hualien County)
30,2023-04-09 13:19:09,121.535,24.636,4.6,62.6,24.64N 121.54E,i.e. 25.4 km WSW of Yilan County(24.64N 121.54E,i.e. 25.4 km WSW of Yilan County)
29,2023-04-08 20:14:50,121.439,23.439,4.7,31.7,23.44N 121.44E,i.e. 81.3 km NNE of Taitung County(23.44N 121.44E,i.e. 81.3 km NNE of Taitung County)
Small area,2023-04-08 19:22:01,121.808,24.2997,4.1,12.7,24.30N 121.81E,i.e. 39.2 km NNE of Hualien County(24.30N 121.81E,i.e. 39.2 km NNE of Hualien County)
Small area,2023-04-08 16:36:51,120.971,23.2692,4,5.1,23.27N 120.97E,i.e. 59.9 km NNW of Taitung County(23.27N 120.97E,i.e. 59.9 km NNW of Taitung County)
Small area,2023-04-08 14:36:19,121.723,24.1817,3.6,10.7,24.18N 121.72E,i.e. 23.6 km NNE of Hualien County(24.18N 121.72E,i.e. 23.6 km NNE of Hualien County)
Small area,2023-04-08 08:56:31,121.348,23.207,3.9,17.7,23.21N 121.35E,i.e. 54.0 km NNE of Taitung County(23.21N 121.35E,i.e. 54.0 km NNE of Taitung County)
Small area,2023-04-07 23:22:50,121.545,24.1085,3.9,59.5,24.11N 121.54E,i.e. 15.1 km NNW of Hualien County(24.11N 121.54E,i.e. 15.1 km NNW of Hualien County)
28,2023-04-07 18:36:31,121.358,23.1968,4.7,17.1,23.20N 121.36E,i.e. 53.3 km NNE of Taitung County(23.20N 121.36E,i.e. 53.3 km NNE of Taitung County)
27,2023-04-06 02:09:14,121.437,23.2958,4.4,25.9,23.30N 121.44E,i.e. 66.7 km NNE of Taitung County(23.30N 121.44E,i.e. 66.7 km NNE of Taitung County)
Small area,2023-04-05 21:32:39,121.727,24.182,3.4,10.9,24.18N 121.73E,i.e. 23.8 km NNE of Hualien County(24.18N 121.73E,i.e. 23.8 km NNE of Hualien County)
26,2023-04-05 00:34:27,121.463,23.9275,4.2,19.9,23.93N 121.46E,i.e. 17.4 km WSW of Hualien County(23.93N 121.46E,i.e. 17.4 km WSW of Hualien County)
Small area,2023-04-04 06:36:25,120.799,23.132,3.7,5,23.13N 120.80E,i.e. 75.5 km NE of Kaohsiung City(23.13N 120.80E,i.e. 75.5 km NE of Kaohsiung City)
Small area,2023-04-04 05:59:43,121.705,24.4003,3.9,62.9,24.40N 121.70E,i.e. 37.1 km S of Yilan County(24.40N 121.70E,i.e. 37.1 km S of Yilan County)
25,2023-04-01 04:02:17,120.956,24.4323,4.4,1.8,24.43N 120.96E,i.e. 20.1 km SE of Miaoli County(24.43N 120.96E,i.e. 20.1 km SE of Miaoli County)
Small area,2023-03-31 20:36:04,120.703,23.168,3.6,9.1,23.17N 120.70E,i.e. 72.7 km NE of Kaohsiung City(23.17N 120.70E,i.e. 72.7 km NE of Kaohsiung City)
Small area,2023-03-30 14:44:30,121.298,23.4692,3.8,12.8,23.47N 121.30E,i.e. 66.5 km SSW of Hualien County(23.47N 121.30E,i.e. 66.5 km SSW of Hualien County)
Small area,2023-03-30 14:26:22,121.408,23.7895,4,58.2,23.79N 121.41E,i.e. 31.0 km SW of Hualien County(23.79N 121.41E,i.e. 31.0 km SW of Hualien County)
Small area,2023-03-30 11:46:35,122.673,24.5072,4.6,86.5,24.51N 122.67E,i.e. 95.4 km ESE of Yilan County(24.51N 122.67E,i.e. 95.4 km ESE of Yilan County)
Small area,2023-03-25 09:05:27,121.59,24.625,4.1,60.5,24.63N 121.59E,i.e. 21.1 km WSW of Yilan County(24.63N 121.59E,i.e. 21.1 km WSW of Yilan County)
Small area,2023-03-25 04:24:29,121.444,23.881,3.2,19.4,23.88N 121.44E,i.e. 21.6 km WSW of Hualien County(23.88N 121.44E,i.e. 21.6 km WSW of Hualien County)
Small area,2023-03-25 01:22:02,121.286,23.6337,3.9,7.2,23.63N 121.29E,i.e. 52.2 km SW of Hualien County(23.63N 121.29E,i.e. 52.2 km SW of Hualien County)
24,2023-03-24 18:04:18,121.318,23.648,4.3,6.7,23.65N 121.32E,i.e. 48.9 km SW of Hualien County(23.65N 121.32E,i.e. 48.9 km SW of Hualien County)
Small area,2023-03-23 11:13:46,121.579,23.7645,3.7,6.7,23.76N 121.58E,i.e. 25.4 km S of Hualien County(23.76N 121.58E,i.e. 25.4 km S of Hualien County)
23,2023-03-23 05:51:04,121.297,23.658,4.7,7.8,23.66N 121.30E,i.e. 49.4 km SW of Hualien County(23.66N 121.30E,i.e. 49.4 km SW of Hualien County)
22,2023-03-22 23:43:05,121.314,23.6478,4.7,6.5,23.65N 121.31E,i.e. 49.2 km SW of Hualien County(23.65N 121.31E,i.e. 49.2 km SW of Hualien County)
Small area,2023-03-21 09:59:46,121.293,23.644,3.9,7.6,23.64N 121.29E,i.e. 50.9 km SW of Hualien County(23.64N 121.29E,i.e. 50.9 km SW of Hualien County)
Small area,2023-03-21 09:54:50,121.308,23.6302,4,3.3,23.63N 121.31E,i.e. 51.1 km SW of Hualien County(23.63N 121.31E,i.e. 51.1 km SW of Hualien County)
21,2023-03-21 09:46:12,121.294,23.6437,4.9,7.1,23.64N 121.29E,i.e. 50.8 km SW of Hualien County(23.64N 121.29E,i.e. 50.8 km SW of Hualien County)
20,2023-03-21 09:45:20,121.306,23.6413,5.4,8.5,23.64N 121.31E,i.e. 50.2 km SW of Hualien County(23.64N 121.31E,i.e. 50.2 km SW of Hualien County)
Small area,2023-03-20 12:30:39,121.786,24.408,3.1,7.6,24.41N 121.79E,i.e. 35.9 km S of Yilan County(24.41N 121.79E,i.e. 35.9 km S of Yilan County)
18,2023-03-16 12:28:43,121.245,23.2742,4.2,18,23.27N 121.24E,i.e. 88.1 km SSW of Hualien County(23.27N 121.24E,i.e. 88.1 km SSW of Hualien County)
Small area,2023-03-16 02:35:20,121.824,24.5303,3.3,10.1,24.53N 121.82E,i.e. 23.1 km SSE of Yilan County(24.53N 121.82E,i.e. 23.1 km SSE of Yilan County)
Small area,2023-03-15 17:31:54,120.863,24.4632,3,7.3,24.46N 120.86E,i.e. 12.1 km SSE of Miaoli County(24.46N 120.86E,i.e. 12.1 km SSE of Miaoli County)
Small area,2023-03-13 21:58:12,121.876,23.4697,4,29.6,23.47N 121.88E,i.e. 63.4 km SSE of Hualien County(23.47N 121.88E,i.e. 63.4 km SSE of Hualien County)
Small area,2023-03-13 21:04:40,121.478,23.9472,4,18.8,23.95N 121.48E,i.e. 15.3 km WSW of Hualien County(23.95N 121.48E,i.e. 15.3 km WSW of Hualien County)
Small area,2023-03-13 19:05:03,121.93,24.4998,3.4,13.7,24.50N 121.93E,i.e. 30.7 km SE of Yilan County(24.50N 121.93E,i.e. 30.7 km SE of Yilan County)
Small area,2023-03-13 14:38:22,120.647,23.1362,3.5,9.3,23.14N 120.65E,i.e. 66.6 km NNE of Kaohsiung City(23.14N 120.65E,i.e. 66.6 km NNE of Kaohsiung City)
Small area,2023-03-13 09:41:56,121.159,23.0932,3.7,13.6,23.09N 121.16E,i.e. 37.5 km N of Taitung County(23.09N 121.16E,i.e. 37.5 km N of Taitung County)
Small area,2023-03-13 08:11:51,121.986,24.8065,4.3,6.3,24.81N 121.99E,i.e. 24.1 km ENE of Yilan County(24.81N 121.99E,i.e. 24.1 km ENE of Yilan County)
Small area,2023-03-13 05:19:43,121.987,24.8078,3.7,6.2,24.81N 121.99E,i.e. 24.2 km ENE of Yilan County(24.81N 121.99E,i.e. 24.2 km ENE of Yilan County)
Small area,2023-03-11 21:17:55,121.571,23.6493,4.4,31.3,23.65N 121.57E,i.e. 38.2 km S of Hualien County(23.65N 121.57E,i.e. 38.2 km S of Hualien County)
Small area,2023-03-11 09:16:50,121.464,23.7795,3.7,10.6,23.78N 121.46E,i.e. 28.3 km SW of Hualien County(23.78N 121.46E,i.e. 28.3 km SW of Hualien County)
Small area,2023-03-11 04:21:53,120.973,24.073,3.4,24.3,24.07N 120.97E,i.e. 34.4 km ENE of Nantou County(24.07N 120.97E,i.e. 34.4 km ENE of Nantou County)
Small area,2023-03-10 03:45:10,121.546,23.4595,4.2,34.7,23.46N 121.55E,i.e. 59.3 km S of Hualien County(23.46N 121.55E,i.e. 59.3 km S of Hualien County)
Small area,2023-03-09 17:38:39,121.711,23.7413,4.1,46.6,23.74N 121.71E,i.e. 29.1 km SSE of Hualien County(23.74N 121.71E,i.e. 29.1 km SSE of Hualien County)
17,2023-03-06 22:34:02,121.843,24.5338,4.1,10.5,24.53N 121.84E,i.e. 23.3 km SSE of Yilan County(24.53N 121.84E,i.e. 23.3 km SSE of Yilan County)
Small area,2023-03-06 21:27:15,121.752,23.9952,3.8,7.8,24.00N 121.75E,i.e. 13.4 km E of Hualien County(24.00N 121.75E,i.e. 13.4 km E of Hualien County)
Small area,2023-03-06 21:10:28,121.571,23.7897,3.4,24.9,23.79N 121.57E,i.e. 22.8 km SSW of Hualien County(23.79N 121.57E,i.e. 22.8 km SSW of Hualien County)
Small area,2023-03-06 12:20:01,121.686,23.6797,4.2,49.6,23.68N 121.69E,i.e. 35.1 km SSE of Hualien County(23.68N 121.69E,i.e. 35.1 km SSE of Hualien County)
Small area,2023-03-06 08:31:52,121.867,24.1792,3.9,24.4,24.18N 121.87E,i.e. 32.6 km NE of Hualien County(24.18N 121.87E,i.e. 32.6 km NE of Hualien County)
Small area,2023-03-05 15:19:53,121.841,24.5325,3.6,9,24.53N 121.84E,i.e. 23.4 km SSE of Yilan County(24.53N 121.84E,i.e. 23.4 km SSE of Yilan County)
Small area,2023-03-04 01:57:31,122.154,24.0465,4.8,18.6,24.05N 122.15E,i.e. 54.7 km E of Hualien County(24.05N 122.15E,i.e. 54.7 km E of Hualien County)
Small area,2023-03-03 22:48:44,121.906,24.8585,5,108.7,24.86N 121.91E,i.e. 20.2 km NE of Yilan County(24.86N 121.91E,i.e. 20.2 km NE of Yilan County)
16,2023-03-03 00:48:59,121.831,24.5282,4.9,11.3,24.53N 121.83E,i.e. 23.5 km SSE of Yilan County(24.53N 121.83E,i.e. 23.5 km SSE of Yilan County)
15,2023-03-02 19:25:23,121.832,24.5303,4.2,10.5,24.53N 121.83E,i.e. 23.3 km SSE of Yilan County(24.53N 121.83E,i.e. 23.3 km SSE of Yilan County)
Small area,2023-03-02 18:40:04,121.32,23.4888,3.5,8.9,23.49N 121.32E,i.e. 63.5 km SSW of Hualien County(23.49N 121.32E,i.e. 63.5 km SSW of Hualien County)
Small area,2023-03-02 15:01:48,121.349,23.0677,4.1,19.5,23.07N 121.35E,i.e. 40.2 km NNE of Taitung County(23.07N 121.35E,i.e. 40.2 km NNE of Taitung County)
Small area,2023-02-28 03:30:58,121.371,23.1842,4.1,18.7,23.18N 121.37E,i.e. 52.6 km NNE of Taitung County(23.18N 121.37E,i.e. 52.6 km NNE of Taitung County)
Small area,2023-02-26 14:22:31,121.61,24.3273,3.4,25.1,24.33N 121.61E,i.e. 37.3 km N of Hualien County(24.33N 121.61E,i.e. 37.3 km N of Hualien County)
